user_input,retrieved_contexts,response,reference,faithfulness
Bột gạo tẻ chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bột gạo tẻ | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 359.0 kcal | Carbohydrate (Carb): 82.2 g\n""]",Bột gạo tẻ chứa 82.2 g carbohydrate.,82.2 g carbohydrate,100.0
Bột mì chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bột mì | Nhãn hệ thống: ['Dish']\n - Năng lượng: 346.0 kcal | Carbohydrate (Carb): 73.6 g\n""]",Bột mì chứa 73.6 g carbohydrate.,73.6 g carbohydrate,
Bột ngô vàng chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bột ngô vàng | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 361.0 kcal | Carbohydrate (Carb): 73.0 g\n""]",Bột ngô vàng chứa 73 g carbohydrate.,73 g carbohydrate,
Bún chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bún | Nhãn hệ thống: ['Dish']\n - Năng lượng: 72.0 kcal | Carbohydrate (Carb): 25.7 g\n""]",Bún chứa 25.7 g carbohydrate.,25.7 g carbohydrate,
Cốm chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Cốm | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 297.0 kcal | Carbohydrate (Carb): 66.3 g\n""]",Cốm chứa 66.3 g carbohydrate.,66.3 g carbohydrate,100.0
Mì sợi chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Mì sợi | Nhãn hệ thống: ['Dish']\n - Năng lượng: 349.0 kcal | Carbohydrate (Carb): 74.2 g\n""]",Mì sợi chứa 74.2 g carbohydrate.,74.2 g carbohydrate,100.0
Ngô nếp luộc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Ngô nếp luộc | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 167.0 kcal | Carbohydrate (Carb): 32.9 g\n""]",Ngô nếp luộc chứa 32.9 g carbohydrate.,32.9 g carbohydrate,100.0
Củ ấu chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Củ ấu | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 115.0 kcal | Carbohydrate (Carb): 24.0 g\n""]",Củ ấu chứa 24 g carbohydrate.,24 g carbohydrate,
Củ khoai mỡ chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Củ khoai mỡ | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 127.0 kcal | Carbohydrate (Carb): 28.3 g\n""]",Củ khoai mỡ chứa 28.3 g carbohydrate.,28.3 g carbohydrate,
Củ dong chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Củ dong | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 119.0 kcal | Carbohydrate (Carb): 28.4 g\n""]",Củ dong chứa 28.4 g carbohydrate.,28.4 g carbohydrate,
Củ sắn chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Củ sắn | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 152.0 kcal | Carbohydrate (Carb): 36.4 g\n""]",Củ sắn chứa 36.4 g carbohydrate.,36.4 g carbohydrate,
Củ sắn dây chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Củ sắn | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 152.0 kcal | Carbohydrate (Carb): 36.4 g\n""]",Củ sắn chứa 36.4 g carbohydrate.,28 g carbohydrate,100.0
Củ súng khô (đã bỏ vỏ) chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Củ súng khô (đã bỏ vỏ) | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 350.0 kcal | Carbohydrate (Carb): 70.3 g\n""]",Củ súng khô (đã bỏ vỏ) chứa 70.3 g carbohydrate.,70.3 g carbohydrate,
Củ từ chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Củ từ | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 92.0 kcal | Carbohydrate (Carb): 21.5 g\n""]",Củ từ chứa 21.5 g carbohydrate.,21.5 g carbohydrate,
Khoai lang chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Khoai lang | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 119.0 kcal | Carbohydrate (Carb): 28.5 g\n""]",Khoai lang chứa 28.5 g carbohydrate.,28.5 g carbohydrate,
Khoai lang nghệ chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Khoai lang | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 119.0 kcal | Carbohydrate (Carb): 28.5 g\n""]",Khoai lang chứa 28.5 g carbohydrate.,27.1 g carbohydrate,
Khoai môn chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Khoai môn | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 109.0 kcal | Carbohydrate (Carb): 25.2 g\n""]",Khoai môn chứa 25.2 g carbohydrate.,25.2 g carbohydrate,
Khoai nước chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Khoai nước | Nhãn hệ thống: ['Dish']\n - Năng lượng: 98.0 kcal | Carbohydrate (Carb): 23.3 g\n""]",Khoai nước chứa 23.3 g carbohydrate.,23.3 g carbohydrate,
Khoai riềng chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Khoai riềng | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 104.0 kcal | Carbohydrate (Carb): 25.1 g\n""]",Khoai riềng chứa 25.1 g carbohydrate.,25.1 g carbohydrate,
Khoai sọ chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Khoai sọ | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 114.0 kcal | Carbohydrate (Carb): 26.5 g\n""]",Khoai sọ chứa 26.5 g carbohydrate.,26.5 g carbohydrate,
Khoai tây chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Khoai tây | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 93.0 kcal | Carbohydrate (Carb): 20.9 g\n""]",Khoai tây chứa 20.9 g carbohydrate.,20.9 g carbohydrate,
Miến dong chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Miến dong | Nhãn hệ thống: ['Dish']\n - Năng lượng: 332.0 kcal | Carbohydrate (Carb): 82.2 g\n""]",Miến dong chứa 82.2 g carbohydrate.,82.2 g carbohydrate,
Bột dong lọc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bột dong lọc | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 341.0 kcal | Carbohydrate (Carb): 84.7 g\n""]",Bột dong lọc chứa 84.7 g carbohydrate.,84.7 g carbohydrate,
Bột khoai lang chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Khoai lang | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 119.0 kcal | Carbohydrate (Carb): 28.5 g\n""]",Khoai lang chứa 28.5 g carbohydrate.,80.2 g carbohydrate,100.0
Bột khoai riềng chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Khoai riềng | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 104.0 kcal | Carbohydrate (Carb): 25.1 g\n""]",Khoai riềng chứa 25.1 g carbohydrate.,84.1 g carbohydrate,
Bột khoai tây(lọc) chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Khoai tây | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 93.0 kcal | Carbohydrate (Carb): 20.9 g\n""]",Khoai tây chứa 20.9 g carbohydrate.,84.4 g carbohydrate,100.0
Bột sắn chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bột sắn | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 333.0 kcal | Carbohydrate (Carb): 79.6 g\n""]",Bột sắn chứa 79.6 g carbohydrate.,79.6 g carbohydrate,
Bột sắn dây chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bột sắn | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 333.0 kcal | Carbohydrate (Carb): 79.6 g\n""]",Bột sắn chứa 79.6 g carbohydrate.,84.3 g carbohydrate,
Khoai lang khô chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Khoai lang | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 119.0 kcal | Carbohydrate (Carb): 28.5 g\n""]",Khoai lang chứa 28.5 g carbohydrate.,80 g carbohydrate,
Khoai tây khô chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Khoai tây | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 93.0 kcal | Carbohydrate (Carb): 20.9 g\n""]",Khoai tây chứa 20.9 g carbohydrate.,75.1 g carbohydrate,
Khoai tây lát chiên chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Khoai tây | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 93.0 kcal | Carbohydrate (Carb): 20.9 g\n""]",Khoai tây chứa 20.9 g carbohydrate.,49.3 g carbohydrate,
Sắn khô chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sắn khô | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 340.0 kcal | Carbohydrate (Carb): 80.3 g\n""]",Sắn khô chứa 80.3 g carbohydrate.,80.3 g carbohydrate,100.0
Trân châu sắn chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Trân châu sắn | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 341.0 kcal | Carbohydrate (Carb): 84.3 g\n""]",Trân châu sắn chứa 84.3 g carbohydrate.,84.3 g carbohydrate,
Cùi dừa giả chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Cùi dừa giả | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 368.0 kcal | Carbohydrate (Carb): 6.2 g\n""]",Cùi dừa giả chứa 6.2 g carbohydrate.,6.2 g carbohydrate,100.0
Cùi dừa non chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Cùi dừa non | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 40.0 kcal | Carbohydrate (Carb): 2.6 g\n""]",Cùi dừa non chứa 2.6 g carbohydrate.,2.6 g carbohydrate,
Đậu cô ve chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Đậu cô ve | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: [321.0, 73.0] kcal | Carbohydrate (Carb): [54.9, 13.3] g\n""]","Đậu cô ve chứa 54.9 g Carbohydrate cho 1 phần ăn, hoặc 13.3 g Carbohydrate cho 100g nguyên liệu thô.

📚 Nguồn trích dẫn y văn gốc: 
- Tên tài liệu: source_document
- Số trang: source_page",54.9 g carbohydrate,25.0
Đậu đen chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Đậu đen | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 325.0 kcal | Carbohydrate (Carb): 53.3 g\n""]",Đậu đen chứa 53.3 g carbohydrate.,53.3 g carbohydrate,
Đậu đũa (hạt) chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Đậu đũa (hạt) | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 320.0 kcal | Carbohydrate (Carb): 51.9 g\n""]",Đậu đũa (hạt) chứa 51.9 g carbohydrate.,51.9 g carbohydrate,100.0
Đậu hà lan chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Đậu Hà Lan | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 72.0 kcal | Carbohydrate (Carb): 10.6 g\n""]",Đậu Hà Lan chứa 10.6 g carbohydrate.,54.1 g carbohydrate,100.0
Đậu tương ( Đậu nành) chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Đậu tương ( Đậu nành) | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 400.0 kcal | Carbohydrate (Carb): 24.6 g\n""]",Đậu tương ( Đậu nành) chứa 24.6 g carbohydrate.,24.6 g carbohydrate,
Đậu trắng hạt (Đậu tây) chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Đậu trắng hạt (Đậu tây) | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 327.0 kcal | Carbohydrate (Carb): 53.8 g\n""]",Đậu trắng hạt (Đậu tây) chứa 53.8 g carbohydrate.,53.8 g carbohydrate,
Đậu trứng cuốc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Đậu trứng cuốc | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 321.0 kcal | Carbohydrate (Carb): 50.0 g\n""]",Đậu trứng cuốc chứa 50 g carbohydrate.,50 g carbohydrate,
Đậu xanh ( Đậu tắt) chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Đậu xanh ( Đậu tắt) | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 328.0 kcal | Carbohydrate (Carb): 53.1 g\n""]",Đậu xanh ( Đậu tắt) chứa 53.1 g carbohydrate.,53.1 g carbohydrate,
Hạt dẻ to chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Hạt dẻ to | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 638.0 kcal | Carbohydrate (Carb): 8.7 g\n""]",Hạt dẻ to chứa 8.7 g carbohydrate.,8.7 g carbohydrate,
Hạt dẻ tươi chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Hạt dẻ tươi | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 223.0 kcal | Carbohydrate (Carb): 49.1 g\n""]",Hạt dẻ tươi chứa 49.1 g carbohydrate.,49.1 g carbohydrate,100.0
Hạt dẻ khô chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Hạt dẻ khô | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 363.0 kcal | Carbohydrate (Carb): 79.8 g\n""]",Hạt dẻ khô chứa 79.8 g carbohydrate.,79.8 g carbohydrate,
Hạt đen chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Hạt đen | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 472.0 kcal | Carbohydrate (Carb): 35.5 g\n""]",Hạt đen chứa 35.5 g carbohydrate.,35.5 g carbohydrate,100.0
Hạt điều chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Hạt điều | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 605.0 kcal | Carbohydrate (Carb): 28.7 g\n""]",Hạt điều chứa 28.7 g carbohydrate.,28.7 g carbohydrate,
Hạt mít chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Hạt mít | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 166.0 kcal | Carbohydrate (Carb): 38.3 g\n""]",Hạt mít chứa 38.3 g carbohydrate.,38.3 g carbohydrate,
Lạc Hạt chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Lạc Hạt | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 573.0 kcal | Carbohydrate (Carb): 15.5 g\n""]",Lạc Hạt chứa 15.5 g carbohydrate.,15.5 g carbohydrate,100.0
Quả cọ tươi chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Quả cọ tươi | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 178.0 kcal | Carbohydrate (Carb): 12.1 g\n""]",Quả cọ tươi chứa 12.1 g carbohydrate.,12.1 g carbohydrate,100.0
