user_input,retrieved_contexts,response,reference,faithfulness
Tiết luộc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Tiết luộc | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: None kcal | Carbohydrate (Carb): 4.6 g\n""]",Tiết luộc chứa 4.6 g carbohydrate.,4.6 g carbohydrate,
Tim bầu dục xào cần tỏi chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bầu | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 14.0 kcal | Carbohydrate (Carb): 2.9 g\n""]",Bầu chứa 2.9 g carbohydrate.,22.4 g carbohydrate,100.0
Trứng chim cút luộc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Trứng chim cút | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 154.0 kcal | Carbohydrate (Carb): 0.4 g\n""]",Trứng chim cút chứa 0.4 g carbohydrate.,nan g carbohydrate,100.0
Trứng gà công nghiệp luộc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Trứng gà | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 166.0 kcal | Carbohydrate (Carb): 0.5 g\n""]",Trứng gà chứa 0.5 g carbohydrate.,0.4 g carbohydrate,100.0
Trứng gà ta luộc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Trứng gà | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 166.0 kcal | Carbohydrate (Carb): 0.5 g\n""]",Trứng gà chứa 0.5 g carbohydrate.,0.2 g carbohydrate,
Trứng gà ta rán chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Trứng gà | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 166.0 kcal | Carbohydrate (Carb): 0.5 g\n""]",Trứng gà chứa 0.5 g carbohydrate.,0.3 g carbohydrate,100.0
Trứng vịt lộn chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Trứng vịt | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 184.0 kcal | Carbohydrate (Carb): 1.0 g\n""]",Trứng vịt chứa 1 g carbohydrate.,1.8 g carbohydrate,
Trứng vịt luộc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Trứng vịt | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 184.0 kcal | Carbohydrate (Carb): 1.0 g\n""]",Trứng vịt chứa 1 g carbohydrate.,0.6 g carbohydrate,
Trứng vịt rán chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Trứng vịt | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 184.0 kcal | Carbohydrate (Carb): 1.0 g\n""]",Trứng vịt chứa 1 g carbohydrate.,1.0 g carbohydrate,100.0
Xôi lạc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Xôi lạc | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 733.1 kcal | Carbohydrate (Carb): 129.4 g\n""]",Xôi lạc chứa 129.4 g carbohydrate.,129.4 g carbohydrate,
Xôi xéo chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Xôi xéo | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 420.2 kcal | Carbohydrate (Carb): 84.3 g\n""]",Xôi xéo chứa 84.3 g carbohydrate.,84.3 g carbohydrate,100.0
Phở bò tái bình dân chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Phở bò tái bình dân | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 45.3 g\n""]",Phở bò tái bình dân chứa 45.3 g carbohydrate.,45.3 g carbohydrate,
Phở bò tái gầu chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Phở bò tái gầu | Nhãn hệ thống: ['Dish']\n - Năng lượng: 581.5 kcal | Carbohydrate (Carb): 77.9 g\n""]",Phở bò tái gầu chứa 77.9 g carbohydrate.,77.9 g carbohydrate,100.0
Phở bò tái lăn chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Phở bò tái lăn | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 71.7 g\n""]",Phở bò tái lăn chứa 71.7 g carbohydrate.,71.7 g carbohydrate,100.0
Phở gà 24h chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Phở gà 24h | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 42.6 g\n""]",Phở gà 24h chứa 42.6 g carbohydrate.,42.6 g carbohydrate,
Phở gà bình dân chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Phở gà bình dân | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 49.0 g\n""]",Phở gà bình dân chứa 49 g carbohydrate.,49.0 g carbohydrate,
Phở vịt quay chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Phở vịt quay | Nhãn hệ thống: ['Dish']\n - Năng lượng: 592.0 kcal | Carbohydrate (Carb): 90.4 g\n""]",Phở vịt quay chứa 90.4 g carbohydrate.,90.4 g carbohydrate,100.0
Phồng tôm chiên chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Tôm | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: None kcal | Carbohydrate (Carb): None g\n""]",Tôm chứa Carbohydrate: Chưa cập nhật.,42.4 g carbohydrate,100.0
Sò huyết nướng chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sò | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 78.0 kcal | Carbohydrate (Carb): 4.9 g\n""]",Sò chứa 4.9 g carbohydrate.,26.4 g carbohydrate,100.0
Su hào xào chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Su hào | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 37.0 kcal | Carbohydrate (Carb): 6.2 g\n""]",Su hào chứa 6.2 g carbohydrate.,6.1 g carbohydrate,100.0
Sữa bò tươi thanh trùng có đường Mộc Châu chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa bò tươi | Nhãn hệ thống: ['Dish']\n - Năng lượng: 74.0 kcal | Carbohydrate (Carb): 4.8 g\n""]",Sữa bò tươi chứa 4.8 g carbohydrate.,20.9 g carbohydrate,
Sữa bò tươi thanh trùng không đường TH True Milk chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa bò tươi | Nhãn hệ thống: ['Dish']\n - Năng lượng: 74.0 kcal | Carbohydrate (Carb): 4.8 g\n""]",Sữa bò tươi chứa 4.8 g carbohydrate.,10.1 g carbohydrate,
Sữa bột tách béo chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa bột tách béo | Nhãn hệ thống: ['Dish']\n - Năng lượng: 357.0 kcal | Carbohydrate (Carb): 52.0 g\n""]",Sữa bột tách béo chứa 52 g carbohydrate.,18.0 g carbohydrate,100.0
Sữa bột toàn phần chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa bột toàn phần | Nhãn hệ thống: ['Dish']\n - Năng lượng: 494.0 kcal | Carbohydrate (Carb): 38.0 g\n""]",Sữa bột toàn phần chứa 38 g carbohydrate.,17.4 g carbohydrate,100.0
Sữa chua có đường Ba Vì chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa chua ( từ sữa bò) | Nhãn hệ thống: ['Dish']\n - Năng lượng: 61.0 kcal | Carbohydrate (Carb): 3.6 g\n""]",Sữa chua ( từ sữa bò) chứa 3.6 g carbohydrate.,16.2 g carbohydrate,100.0
Sữa chua không đường TH True Yogurt chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa chua không đường TH True Yogurt | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 3.6 g\n""]",Sữa chua không đường TH True Yogurt chứa 3.6 g carbohydrate.,3.6 g carbohydrate,100.0
Sữa chua uống Yakult chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa chua uống Yakult | Nhãn hệ thống: ['Dish']\n - Năng lượng: 53.0 kcal | Carbohydrate (Carb): 12.4 g\n""]",Sữa chua uống Yakult chứa 12.4 g carbohydrate.,12.4 g carbohydrate,100.0
Sữa đặc có đường chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa đặc có đường Việt Nam | Nhãn hệ thống: ['Dish']\n - Năng lượng: 336.0 kcal | Carbohydrate (Carb): 56.0 g\n""]",Sữa đặc có đường Việt Nam chứa 56 g carbohydrate.,22.4 g carbohydrate,100.0
Sữa đậu nành chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa đậu nành | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): None g\n""]",Sữa đậu nành chứa Carbohydrate: Chưa cập nhật.,18.4 g carbohydrate,50.0
Sữa dê thanh trùng không đường chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa dê thanh trùng không đường | Nhãn hệ thống: ['Dish']\n - Năng lượng: 138.0 kcal | Carbohydrate (Carb): 4.5 g\n""]",Sữa dê thanh trùng không đường chứa 4.5 g carbohydrate.,4.5 g carbohydrate,100.0
Sữa Milo chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sữa Milo | Nhãn hệ thống: ['Dish']\n - Năng lượng: 110.0 kcal | Carbohydrate (Carb): 17.0 g\n""]",Sữa Milo chứa 17 g carbohydrate.,17.0 g carbohydrate,100.0
