user_input,retrieved_contexts,response,reference,faithfulness
Bị tiểu đường với cao huyết áp ăn cơm tấm được không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Bị tiểu đường với cao huyết áp ăn cơm tấm được không?\n💡 Chuyên gia tư vấn: Được, nhưng cần kiểm soát chặt chẽ phần ăn. Cơm tấm làm từ gạo vỡ có chỉ số GI cao, kết hợp sườn sụn giàu chất béo bão hòa và nước mắm mặn, người bệnh nên giảm lượng cơm và ăn kèm nhiều dưa chuột, xà lách tươi.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Cơm tấm có chỉ số GI cao, kết hợp sườn sụn giàu chất béo bão hòa và nước mắm mặn. 
Năng lượng: Chưa cập nhật
Carbohydrate: Chưa cập nhật
Chất đạm: Chưa cập nhật
Natri: Chưa cập nhật
Kali: Chưa cập nhật

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế","Được, nhưng cần kiểm soát chặt chẽ phần ăn. Cơm tấm làm từ gạo vỡ có chỉ số GI cao, kết hợp sườn sụn giàu chất béo bão hòa và nước mắm mặn, người bệnh nên giảm lượng cơm và ăn kèm nhiều dưa chuột, xà lách tươi.",
"Tôi bị tăng huyết áp, ăn cà muối thường xuyên có ổn không?","['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Tôi bị tăng huyết áp, ăn cà muối thường xuyên có ổn không?\n💡 Chuyên gia tư vấn: Không ổn. Cà muối là món ăn chứa hàm lượng muối natri cực kỳ cao, làm giữ nước trong lòng mạch, tăng gánh nặng cho tim và mạch máu, dễ dẫn tới các tai biến mạch máu não.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Natri trong 100g cà muối: Chưa cập nhật
Năng lượng trong 1 phần ăn cà muối: Chưa cập nhật
Chất đạm trong 1 phần ăn cà muối: Chưa cập nhật
Kali trong 100g cà muối: Chưa cập nhật

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế","Không ổn. Cà muối là món ăn chứa hàm lượng muối natri cực kỳ cao, làm giữ nước trong lòng mạch, tăng gánh nặng cho tim và mạch máu, dễ dẫn tới các tai biến mạch máu não.",
Tiểu đường mà uống nước ép xoài được không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Tiểu đường mà uống nước ép xoài được không?\n💡 Chuyên gia tư vấn: Nên hạn chế. Thay vì uống nước ép xoài dễ làm đường huyết tăng nhanh do mất đi cấu trúc chất xơ, người bệnh nên ăn xoài chín nguyên miếng (khẩu phần vừa phải khoảng 55g) để giữ lại chất xơ làm chậm hấp thu đường.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Một phần ăn xoài (55g) có chỉ số đường huyết là 55g. 
Chưa cập nhật thông tin về chỉ số GI, Natri, Kali.
📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế","Nên hạn chế. Thay vì uống nước ép xoài dễ làm đường huyết tăng nhanh do mất đi cấu trúc chất xơ, người bệnh nên ăn xoài chín nguyên miếng (khẩu phần vừa phải khoảng 55g) để giữ lại chất xơ làm chậm hấp thu đường.",
Bị cả hai bệnh thì nên ăn rau gì?,"[""🚨 ĐỒ THỊ TRỐNG: Hệ thống chưa cập nhật dữ liệu cho thực phẩm 'Cả hai bệnh thì nên' 🚨""]","Chưa cập nhật 

📚 Nguồn trích dẫn y văn gốc: Chưa cập nhật","Nên ăn đa dạng các loại rau xanh, đặc biệt là rau màu xanh thẫm hoặc giàu tính nhuận tràng như mồng mơi, rau đay, rau lang, cải bắp, bông cải xanh. Chúng cung cấp nhiều chất xơ hòa tan giúp hạ cholesterol và kali hỗ trợ hạ huyết áp.",33.33
Tôi bị cao huyết áp có nên ăn đồ hộp không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Tôi bị cao huyết áp có nên ăn đồ hộp không?\n💡 Chuyên gia tư vấn: Cần hạn chế tối đa. Các loại thực phẩm đóng hộp chê biến sẵn thường được bổ sung một lượng natri rất lớn để bảo quản, không phù hợp với nguyên tắc dinh dưỡng ăn nhạt lâm sàng.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Natri trong đồ hộp: Chưa cập nhật
Năng lượng, Carbohydrate, Chất đạm, Kali: Chưa cập nhật

📚 Nguồn trích dẫn y văn gốc: 
- Tài liệu: Dinh dưỡng lâm sàng - Bộ Y tế 
- Số trang: Không xác định","Cần hạn chế tối đa. Các loại thực phẩm đóng hộp chê biến sẵn thường được bổ sung một lượng natri rất lớn để bảo quản, không phù hợp với nguyên tắc dinh dưỡng ăn nhạt lâm sàng.",
Đái tháo đường ăn mít được không?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Đái tháo đường | Nhãn hệ thống: ['Disease']\n - Năng lượng: None kcal | Carbohydrate (Carb): None g\n""]","Chưa cập nhật thông tin về năng lượng và Carbohydrate của mít. 

📚 Nguồn trích dẫn y văn gốc: 
- Tên tài liệu: Chưa cập nhật
- Số trang: Chưa cập nhật","Được, nhưng phải kiểm soát khẩu phần kỹ lưỡng. Mít dai chín có hàm lượng đường khá cao, mỗi lần ăn người bệnh chỉ nên dùng khoảng 5 múi trung bình (~88g) và không ăn kèm các đồ ngọt khác.",
Bị cả tiểu đường với cao huyết áp thì uống nước dừa được không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Bị cả tiểu đường với cao huyết áp thì uống nước dừa được không?\n💡 Chuyên gia tư vấn: Được, nhưng chỉ nên uống lượng vừa phải, không lạm dụng. Nước dừa tự nhiên cung cấp nguồn khoáng chất kali rất tốt hỗ trợ tim mạch, nhưng vẫn chứa một lượng đường đơn nhất định.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Nước dừa chứa 45 kcal, 11g Glucid, 1,8g Chất đạm, 45mg Natri, 600mg Kali trong 100g nguyên liệu thô. 

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế, trang 120","Được, nhưng chỉ nên uống lượng vừa phải, không lạm dụng. Nước dừa tự nhiên cung cấp nguồn khoáng chất kali rất tốt hỗ trợ tim mạch, nhưng vẫn chứa một lượng đường đơn nhất định.",
Tiểu đường ăn nhãn có sao không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Tiểu đường ăn nhãn có sao không?\n💡 Chuyên gia tư vấn: Nên hạn chế khẩu phần. Nhãn chín có chỉ số đường huyết trung bình cao, nếu ăn người bệnh chỉ nên dùng khoảng 12 quả to hoặc 20 quả trung bình (~91g) cho một bữa phụ và tuyệt đối không ăn quá nhiều.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Người bệnh tiểu đường có thể ăn nhãn, nhưng nên hạn chế khẩu phần, khoảng 12 quả to hoặc 20 quả trung bình (~91g) cho một bữa phụ.
📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế","Nên hạn chế khẩu phần. Nhãn chín có chỉ số đường huyết trung bình cao, nếu ăn người bệnh chỉ nên dùng khoảng 12 quả to hoặc 20 quả trung bình (~91g) cho một bữa phụ và tuyệt đối không ăn quá nhiều.",
Cao huyết áp ăn lạp xưởng được không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Cao huyết áp ăn lạp xưởng được không?\n💡 Chuyên gia tư vấn: Không nên. Lạp xưởng là thực phẩm chế biến sẵn chứa tỷ lệ chất béo bão hòa, mỡ động vật và muối natri rất cao, làm tăng mạnh nguy cơ xơ vữa động mạch và biến chứng nhồi máu cơ tim.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Lạp xưởng chứa 1.200 mg Natri, 25g Chất béo, 10g Chất béo bão hòa trong 100g nguyên liệu thô. 
📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế","Không nên. Lạp xưởng là thực phẩm chế biến sẵn chứa tỷ lệ chất béo bão hòa, mỡ động vật và muối natri rất cao, làm tăng mạnh nguy cơ xơ vữa động mạch và biến chứng nhồi máu cơ tim.",
Bị cả hai bệnh thì ăn cá hấp hay cá khô tốt hơn?,"[""🚨 ĐỒ THỊ TRỐNG: Hệ thống chưa cập nhật dữ liệu cho thực phẩm 'Cả hai bệnh thì' 🚨""]","Chưa cập nhật.

📚 Nguồn trích dẫn y văn gốc: 
- Tên tài liệu: Chưa cập nhật
- Số trang: Chưa cập nhật","Cá hấp tốt hơn rõ rệt. Cá hấp giữ được các acid béo chưa no omega-3 có lợi cho tim mạch mà không bị nhiễm lượng muối natri quá tải như cá khô, giúp bảo vệ an toàn cho cả đường huyết và áp lực mạch máu.",20.0
Tiểu đường ăn xoài chín được không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Tiểu đường ăn xoài chín được không?\n💡 Chuyên gia tư vấn: Được, nhưng chỉ ăn lượng vừa phải. Mỗi lần ăn người bệnh đái tháo đường chỉ nên tiêu thụ khoảng 1 má xoài chín đối với quả cỡ trung bình (~55g-60g) để không làm đường huyết tăng vọt đột ngột.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Người bệnh tiểu đường có thể ăn xoài chín, nhưng chỉ nên ăn khoảng 1 má xoài (~55g-60g) mỗi lần.

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế","Được, nhưng chỉ ăn lượng vừa phải. Mỗi lần ăn người bệnh đái tháo đường chỉ nên tiêu thụ khoảng 1 má xoài chín đối với quả cỡ trung bình (~55g-60g) để không làm đường huyết tăng vọt đột ngột.",
Cao huyết áp có nên ăn snack mặn không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Cao huyết áp có nên ăn snack mặn không?\n💡 Chuyên gia tư vấn: Không nên. Các loại snack mặn, khoai tây chiên đóng gói chứa lượng muối natri bão hòa rất cao và chất béo chuyển hóa tối kỵ, làm tăng trực tiếp huyết áp tâm thu và tâm trương.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Không nên ăn snack mặn vì chứa lượng muối natri cao và chất béo chuyển hóa, làm tăng huyết áp.
Natri: Chưa cập nhật
📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế","Không nên. Các loại snack mặn, khoai tây chiên đóng gói chứa lượng muối natri bão hòa rất cao và chất béo chuyển hóa tối kỵ, làm tăng trực tiếp huyết áp tâm thu và tâm trương.",
Tui bị đường huyết cao mà hay bỏ bữa sáng thì có sao không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Tui bị đường huyết cao mà hay bỏ bữa sáng thì có sao không?\n💡 Chuyên gia tư vấn: Không nên bỏ bữa sáng. Nhịn ăn sáng làm tăng nguy cơ hạ đường huyết xa bữa ăn đột ngột, đồng thời gây hiện tượng ăn bù quá nhiều vào bữa trưa, làm mất ổn định cơ chế điều hòa glucose mạn tính.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Không có thông tin về chỉ số dinh dưỡng cụ thể. 

📚 Nguồn trích dẫn y văn gốc: 
- Tài liệu: Dinh dưỡng lâm sàng - Bộ Y tế 
- Trang: Không có thông tin về số trang cụ thể.","Không nên bỏ bữa sáng. Nhịn ăn sáng làm tăng nguy cơ hạ đường huyết xa bữa ăn đột ngột, đồng thời gây hiện tượng ăn bù quá nhiều vào bữa trưa, làm mất ổn định cơ chế điều hòa glucose mạn tính.",100.0
Bị cao huyết áp uống nước ngọt được không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Bị cao huyết áp uống nước ngọt được không?\n💡 Chuyên gia tư vấn: Cần hạn chế tối đa. Nước ngọt chứa nhiều đường đơn làm tăng nguy cơ béo phì, rối loạn chuyển hóa lipid máu - đây là các yếu tố nguy cơ gián tiếp thúc đẩy tai biến mạch máu ở người cao huyết áp.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Không có thông tin về chỉ số dinh dưỡng cụ thể của nước ngọt trong dữ liệu được cung cấp. 

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế","Cần hạn chế tối đa. Nước ngọt chứa nhiều đường đơn làm tăng nguy cơ béo phì, rối loạn chuyển hóa lipid máu - đây là các yếu tố nguy cơ gián tiếp thúc đẩy tai biến mạch máu ở người cao huyết áp.",100.0
Tiểu đường với cao huyết áp có ăn bắp luộc được không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Tiểu đường với cao huyết áp có ăn bắp luộc được không?\n💡 Chuyên gia tư vấn: Được, nhưng cần kiểm soát khẩu phần. Bắp (ngô nếp luộc) chứa nhiều carbohydrate (61g bắp tương đương 1 đơn vị tinh bột chuyển đổi), người bệnh có thể ăn khoảng 1/2 bắp trung bình và cần trừ bớt lượng cơm ăn trong ngày.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Người bệnh tiểu đường với cao huyết áp có thể ăn bắp luộc, với lượng khoảng 1/2 bắp trung bình. 
📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế","Được, nhưng cần kiểm soát khẩu phần. Bắp (ngô nếp luộc) chứa nhiều carbohydrate (61g bắp tương đương 1 đơn vị tinh bột chuyển đổi), người bệnh có thể ăn khoảng 1/2 bắp trung bình và cần trừ bớt lượng cơm ăn trong ngày.",
Bị cả hai bệnh thì cơm trắng hay gạo lứt tốt hơn?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Gạo lứt | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 345.0 kcal | Carbohydrate (Carb): 72.8 g\n""]","Gạo lứt chứa 345.0 kcal và 72.8 g Carbohydrate.
📚 Nguồn trích dẫn y văn gốc: source_document = 'Dinh_duong_va_suc_khoe', source_page = 12","Gạo lứt tốt hơn rõ rệt bởi vì gạo lứt giữ được lớp vỏ lụa giàu chất xơ (3.4g chất xơ/100g) và vitamin nhóm B, giúp kéo dài thời gian hấp thu glucose, hạ cholesterol và bảo vệ thành mạch máu tốt hơn.",
Tiểu đường có uống sữa đặc được không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Tiểu đường có uống sữa đặc được không?\n💡 Chuyên gia tư vấn: Không nên. Sữa đặc có đường chứa hàm lượng đường đơn sucrose cực kỳ lớn (9g sữa đặc đã tương đương 1 đơn vị đường chuyển đổi), rất dễ gây mất kiểm soát đường huyết sau khi uống.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Sữa đặc chứa 9g đường đơn sucrose trong 1 đơn vị đường chuyển đổi. 
📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế","Không nên. Sữa đặc có đường chứa hàm lượng đường đơn sucrose cực kỳ lớn (9g sữa đặc đã tương đương 1 đơn vị đường chuyển đổi), rất dễ gây mất kiểm soát đường huyết sau khi uống.",
