question,contexts,answer,ground_truth
Bánh giò chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh giò | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 28.7 g\n - Chất đạm (Protein): 5.1 g | Natri: None mg | Kali: 0.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh giò chứa 28.7 g carbohydrate.,28.7 g carbohydrate
Bánh mì - xôi chảo chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh mì | Nhãn hệ thống: ['Dish']\n - Năng lượng: 249.0 kcal | Carbohydrate (Carb): 52.6 g\n - Chất đạm (Protein): 7.9 g | Natri: None mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh mì chứa 52.6 g carbohydrate.,66.7 g carbohydrate
Bánh mỳ kẹp chả chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh mỳ kẹp chả | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 34.3 g\n - Chất đạm (Protein): 14.1 g | Natri: 533.0 mg | Kali: 15.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh mỳ kẹp chả chứa 34.3 g carbohydrate.,34.3 g carbohydrate
BÁNH MỲ KẸP THẬP CẨM chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: BÁNH MỲ KẸP THẬP CẨM | Nhãn hệ thống: ['Dish']\n - Năng lượng: 558.0 kcal | Carbohydrate (Carb): 28.4 g\n - Chất đạm (Protein): 23.8 g | Natri: 880.4 mg | Kali: 392.3 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",BÁNH MỲ KẸP THẬP CẨM chứa 28.4 g carbohydrate.,28.4 g carbohydrate
Bánh mỳ nướng muối ớt chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Muối | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: None kcal | Carbohydrate (Carb): None g\n - Chất đạm (Protein): None g | Natri: 38758.0 mg | Kali: 4.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Muối chứa Carbohydrate: Chưa cập nhật.,20.4 g carbohydrate
Bánh mỳ ốp la chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh mỳ ốp la | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 41.5 g\n - Chất đạm (Protein): 16.5 g | Natri: 199.2 mg | Kali: 92.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh mỳ ốp la chứa 41.5 g carbohydrate.,41.5 g carbohydrate
Bánh mỳ pate chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh mỳ pate | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 37.5 g\n - Chất đạm (Protein): 19.3 g | Natri: 284.0 mg | Kali: 186.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh mỳ pate chứa 37.5 g carbohydrate.,37.5 g carbohydrate
Bánh mỳ que Hải Phòng chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh mỳ que Hải Phòng | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 11.6 g\n - Chất đạm (Protein): 1.7 g | Natri: None mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh mỳ que Hải Phòng chứa 11.6 g carbohydrate.,11.6 g carbohydrate
Bánh mỳ ruốc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh mỳ ruốc | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 20.4 g\n - Chất đạm (Protein): 3.0 g | Natri: 12.6 mg | Kali: 37.5 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh mỳ ruốc chứa 20.4 g carbohydrate.,20.4 g carbohydrate
Bánh mỳ sốt vang chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh mỳ sốt vang | Nhãn hệ thống: ['Dish']\n - Năng lượng: 382.0 kcal | Carbohydrate (Carb): 41.6 g\n - Chất đạm (Protein): 19.3 g | Natri: 464.6 mg | Kali: 467.9 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh mỳ sốt vang chứa 41.6 g carbohydrate.,41.6 g carbohydrate
Bánh mỳ vuông chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh mỳ vuông | Nhãn hệ thống: ['Dish']\n - Năng lượng: 95.0 kcal | Carbohydrate (Carb): 20.0 g\n - Chất đạm (Protein): 3.0 g | Natri: None mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh mỳ vuông chứa 20 g carbohydrate.,20.0 g carbohydrate
Bánh nướng thập cẩm chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh nướng thập cẩm | Nhãn hệ thống: ['Dish']\n - Năng lượng: 706.0 kcal | Carbohydrate (Carb): 87.5 g\n - Chất đạm (Protein): 18.0 g | Natri: None mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh nướng thập cẩm chứa 87.5 g carbohydrate.,87.5 g carbohydrate
Bánh nướng trứng đậu xanh chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh nướng trứng đậu xanh | Nhãn hệ thống: ['Dish']\n - Năng lượng: 648.0 kcal | Carbohydrate (Carb): None g\n - Chất đạm (Protein): 19.5 g | Natri: None mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh nướng trứng đậu xanh chứa Carbohydrate: Chưa cập nhật.,nan g carbohydrate
Bánh rán đường chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bánh rán đường | Nhãn hệ thống: ['Dish']\n - Năng lượng: 252.0 kcal | Carbohydrate (Carb): 36.7 g\n - Chất đạm (Protein): 3.3 g | Natri: 61.9 mg | Kali: 71.3 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bánh rán đường chứa 36.7 g carbohydrate.,36.7 g carbohydrate
Súp nấm gà chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Nấm | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: None kcal | Carbohydrate (Carb): None g\n - Chất đạm (Protein): None g | Natri: None mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Nấm chứa Carbohydrate: Chưa cập nhật.,6.2 g carbohydrate
Súp ngô cua chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Súp ngô cua | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 18.8 g\n - Chất đạm (Protein): 9.5 g | Natri: 20.7 mg | Kali: 113.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Súp ngô cua chứa 18.8 g carbohydrate.,18.8 g carbohydrate
Sushi phô mai chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sushi phô mai | Nhãn hệ thống: ['Dish']\n - Năng lượng: 42.0 kcal | Carbohydrate (Carb): 5.6 g\n - Chất đạm (Protein): 1.7 g | Natri: 52.9 mg | Kali: 23.9 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Sushi phô mai chứa 5.6 g carbohydrate.,5.6 g carbohydrate
Sushi thập cẩm chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Sushi thập cẩm | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 8.2 g\n - Chất đạm (Protein): 2.7 g | Natri: 41.8 mg | Kali: 50.2 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Sushi thập cẩm chứa 8.2 g carbohydrate.,8.2 g carbohydrate
Tào phớ truyền thống chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Tào phớ truyền thống | Nhãn hệ thống: ['Dish']\n - Năng lượng: 83.8 kcal | Carbohydrate (Carb): 15.8 g\n - Chất đạm (Protein): 4.3 g | Natri: 61.5 mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Tào phớ truyền thống chứa 15.8 g carbohydrate.,15.8 g carbohydrate
Thịt bò xào đậu cove chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Thịt bò xào đậu cove | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 162.0 kcal | Carbohydrate (Carb): 13.3 g\n - Chất đạm (Protein): 14.5 g | Natri: 404.0 mg | Kali: 424.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Thịt bò xào đậu cove chứa 13.3 g carbohydrate.,13.3 g carbohydrate
"Thịt bò xào hành tây, cà chua chứa bao nhiêu carbohydrate?","[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Cà chua | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 20.0 kcal | Carbohydrate (Carb): 4.0 g\n - Chất đạm (Protein): 0.6 g | Natri: 12.0 mg | Kali: 275.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Cà chua chứa 4 g carbohydrate.,14.8 g carbohydrate
Thịt bò xào hoa thiên lý chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Thịt bò xào hoa thiên lý | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 270.0 kcal | Carbohydrate (Carb): 9.5 g\n - Chất đạm (Protein): 27.1 g | Natri: 972.2 mg | Kali: 429.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Thịt bò xào hoa thiên lý chứa 9.5 g carbohydrate.,9.5 g carbohydrate
Thịt bò xào lúc lắc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Thịt bò xào lúc lắc | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 469.0 kcal | Carbohydrate (Carb): 28.7 g\n - Chất đạm (Protein): 47.3 g | Natri: 582.0 mg | Kali: 1504.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Thịt bò xào lúc lắc chứa 28.7 g carbohydrate.,28.7 g carbohydrate
Thịt bò xào nấm chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Nấm | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: None kcal | Carbohydrate (Carb): None g\n - Chất đạm (Protein): None g | Natri: None mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Nấm chứa Carbohydrate: Chưa cập nhật.,3.9 g carbohydrate
Thịt bò xào su su chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Thịt bò xào su su | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: None kcal | Carbohydrate (Carb): 4.2 g\n - Chất đạm (Protein): 21.9 g | Natri: 357.0 mg | Kali: 378.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Thịt bò xào su su chứa 4.2 g carbohydrate.,4.2 g carbohydrate
Thịt trâu xào rau muống chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Rau muống | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 25.0 kcal | Carbohydrate (Carb): 2.1 g\n - Chất đạm (Protein): 3.2 g | Natri: 37.0 mg | Kali: 331.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Rau muống chứa 2.1 g carbohydrate.,2.1 g carbohydrate
Tiết luộc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Tiết luộc | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: None kcal | Carbohydrate (Carb): 4.6 g\n - Chất đạm (Protein): 11.4 g | Natri: 553.4 mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Tiết luộc chứa 4.6 g carbohydrate.,4.6 g carbohydrate
Tim bầu dục xào cần tỏi chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Bầu | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 14.0 kcal | Carbohydrate (Carb): 2.9 g\n - Chất đạm (Protein): 0.6 g | Natri: 2.0 mg | Kali: 150.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Bầu chứa 2.9 g carbohydrate.,22.4 g carbohydrate
Trứng chim cút luộc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Trứng chim cút | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 154.0 kcal | Carbohydrate (Carb): 0.4 g\n - Chất đạm (Protein): 13.1 g | Natri: 141.0 mg | Kali: 132.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Trứng chim cút chứa 0.4 g carbohydrate.,nan g carbohydrate
Trứng gà công nghiệp luộc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Trứng gà | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 166.0 kcal | Carbohydrate (Carb): 0.5 g\n - Chất đạm (Protein): 14.8 g | Natri: 158.0 mg | Kali: 176.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Trứng gà chứa 0.5 g carbohydrate.,0.4 g carbohydrate
Trứng gà ta luộc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Trứng gà | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 166.0 kcal | Carbohydrate (Carb): 0.5 g\n - Chất đạm (Protein): 14.8 g | Natri: 158.0 mg | Kali: 176.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Trứng gà chứa 0.5 g carbohydrate.,0.2 g carbohydrate
Trứng gà ta rán chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Trứng gà | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 166.0 kcal | Carbohydrate (Carb): 0.5 g\n - Chất đạm (Protein): 14.8 g | Natri: 158.0 mg | Kali: 176.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Trứng gà chứa 0.5 g carbohydrate.,0.3 g carbohydrate
Trứng vịt lộn chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Trứng vịt | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 184.0 kcal | Carbohydrate (Carb): 1.0 g\n - Chất đạm (Protein): 13.0 g | Natri: 191.0 mg | Kali: 258.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Trứng vịt chứa 1 g carbohydrate.,1.8 g carbohydrate
Trứng vịt luộc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Trứng vịt | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 184.0 kcal | Carbohydrate (Carb): 1.0 g\n - Chất đạm (Protein): 13.0 g | Natri: 191.0 mg | Kali: 258.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Trứng vịt chứa 1 g carbohydrate.,0.6 g carbohydrate
Trứng vịt rán chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Trứng vịt | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 184.0 kcal | Carbohydrate (Carb): 1.0 g\n - Chất đạm (Protein): 13.0 g | Natri: 191.0 mg | Kali: 258.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Trứng vịt chứa 1 g carbohydrate.,1.0 g carbohydrate
Xôi lạc chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Xôi lạc | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 733.1 kcal | Carbohydrate (Carb): 129.4 g\n - Chất đạm (Protein): 21.1 g | Natri: 332.4 mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Xôi lạc chứa 129.4 g carbohydrate.,129.4 g carbohydrate
Xôi xéo chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Xôi xéo | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 420.2 kcal | Carbohydrate (Carb): 84.3 g\n - Chất đạm (Protein): 12.6 g | Natri: 78.8 mg | Kali: None mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Xôi xéo chứa 84.3 g carbohydrate.,84.3 g carbohydrate
Phở bò tái bình dân chứa bao nhiêu carbohydrate?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Phở bò tái bình dân | Nhãn hệ thống: ['Dish']\n - Năng lượng: None kcal | Carbohydrate (Carb): 45.3 g\n - Chất đạm (Protein): 13.4 g | Natri: 1315.0 mg | Kali: 169.0 mg\n - Nguồn dữ liệu y văn: Tài liệu 'Không có thông tin', Vị trí: Không có thông tin\n""]",Phở bò tái bình dân chứa 45.3 g carbohydrate.,45.3 g carbohydrate
