question,contexts,answer,ground_truth
Bị cả hai bệnh có nên ăn lẩu mắm không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Bị cả hai bệnh có nên ăn lẩu mắm không?\n💡 Chuyên gia tư vấn: Nên hạn chế tối đa. Nước cốt lẩu mắm chứa lượng natri cực kỳ cao từ mắm cốt cô đặc, kết hợp với các loại thịt mỡ làm tăng gánh mạch máu và huyết áp, không phù hợp cho người có cả hai bệnh lý nền.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Không nên ăn lẩu mắm vì nước cốt lẩu mắm chứa lượng natri cao (Chưa cập nhật) và kết hợp với thịt mỡ làm tăng gánh mạch máu và huyết áp.

📚 Nguồn trích dẫn y văn gốc:
- Tài liệu: Dinh dưỡng lâm sàng - Bộ Y tế
- Trang: Khẩu ngữ hóa","Nên hạn chế tối đa. Nước cốt lẩu mắm chứa lượng natri cực kỳ cao từ mắm cốt cô đặc, kết hợp với các loại thịt mỡ làm tăng gánh mạch máu và huyết áp, không phù hợp cho người có cả hai bệnh lý nền."
Tiểu đường có ăn dưa hấu được không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Tiểu đường có ăn dưa hấu được không?\n💡 Chuyên gia tư vấn: Được, nhưng chỉ ăn lượng vừa phải. Dưa hấu có chỉ số đường huyết tương đối cao (GI = 72) nhưng tải lượng đường huyết trong 100g thấp (GL = 3.6). Mỗi lần người bệnh chỉ nên ăn khoảng 3 miếng nhỏ (~280g cả vỏ).\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Dưa hấu có thể ăn được, nhưng chỉ ăn lượng vừa phải. Mỗi 100g dưa hấu có:
- Năng lượng: 30 kcal
- Carbohydrate: 7.6g
- Chất đạm: 0.6g
- Natri: 1mg
- Kali: 170mg

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa), trang 23.","Được, nhưng chỉ ăn lượng vừa phải. Dưa hấu có chỉ số đường huyết tương đối cao (GI = 72) nhưng tải lượng đường huyết trong 100g thấp (GL = 3.6). Mỗi lần người bệnh chỉ nên ăn khoảng 3 miếng nhỏ (~280g cả vỏ)."
Cao huyết áp có nên ăn xúc xích nướng không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Cao huyết áp có nên ăn xúc xích nướng không?\n💡 Chuyên gia tư vấn: Không nên. Xúc xích nướng chứa chất béo bão hòa cao và lượng muối natri lớn (~287 mg/100g) phục vụ chế biến sẵn, hoàn toàn không tốt cho thành mạch và kiểm soát huyết áp tâm thu.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Xúc xích nướng chứa chất béo bão hòa cao và lượng muối natri lớn (~287 mg/100g).

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Không nên. Xúc xích nướng chứa chất béo bão hòa cao và lượng muối natri lớn (~287 mg/100g) phục vụ chế biến sẵn, hoàn toàn không tốt cho thành mạch và kiểm soát huyết áp tâm thu."
Bị cả hai bệnh thì uống trà sữa hay nước lọc tốt hơn?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Bị cả hai bệnh thì uống trà sữa hay nước lọc tốt hơn?\n💡 Chuyên gia tư vấn: Nước lọc tốt hơn tuyệt đối. Nước lọc đun sôi để nguội giúp làm sạch và duy trì cân bằng nội môi mà không chứa calo, không chứa đường đơn hay chất béo bão hòa như trà sữa, bảo vệ an toàn mạch máu.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Nước lọc tốt hơn trà sữa vì không chứa calo, đường đơn và chất béo bão hòa.

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Nước lọc tốt hơn tuyệt đối. Nước lọc đun sôi để nguội giúp làm sạch và duy trì cân bằng nội môi mà không chứa calo, không chứa đường đơn hay chất béo bão hòa như trà sữa, bảo vệ an toàn mạch máu."
Tiểu đường có nên ăn nhiều trái cây cùng lúc không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Tiểu đường có nên ăn nhiều trái cây cùng lúc không?\n💡 Chuyên gia tư vấn: Không nên. Việc tiêu thụ một lượng lớn trái cây chín (ngay cả loại đường tự nhiên fructose) trong cùng một bữa sẽ làm quá tải hệ thống men chuyển hóa, gây tăng vọt glucose máu sau khi ăn.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Không nên ăn nhiều trái cây cùng lúc. Việc tiêu thụ một lượng lớn trái cây chín trong cùng một bữa sẽ làm quá tải hệ thống men chuyển hóa, gây tăng vọt glucose máu sau khi ăn.

📚 Nguồn trích dẫn y văn gốc:
- Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Không nên. Việc tiêu thụ một lượng lớn trái cây chín (ngay cả loại đường tự nhiên fructose) trong cùng một bữa sẽ làm quá tải hệ thống men chuyển hóa, gây tăng vọt glucose máu sau khi ăn."
Cao huyết áp có cần giảm muối suốt đời không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Cao huyết áp có cần giảm muối suốt đời không?\n💡 Chuyên gia tư vấn: Có, cần duy trì lâu dài. Hạn chế lượng muối ăn vào (< 5g-6g muối/ngày) là một nguyên tắc can thiệp lối sống có hiệu quả lâu dài giúp giảm tỷ lệ tái phát tai biến và ổn định huyết áp muôn đời.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Câu trả lời: Có, cần duy trì lâu dài. Hạn chế lượng muối ăn vào < 5g-6g muối/ngày.

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Có, cần duy trì lâu dài. Hạn chế lượng muối ăn vào (< 5g-6g muối/ngày) là một nguyên tắc can thiệp lối sống có hiệu quả lâu dài giúp giảm tỷ lệ tái phát tai biến và ổn định huyết áp muôn đời."
Bị cả hai bệnh có nên uống bia cuối tuần không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Bị cả hai bệnh có nên uống bia cuối tuần không?\n💡 Chuyên gia tư vấn: Cần hạn chế tối đa. Rượu bia có thể ức chế quá trình tân tạo đường ở gan gây hạ đường huyết đột ngột lúc xa bữa ăn, đồng thời hủy hoại tế bào gan, làm tăng các yếu tố rủi ro tim mạch và đột quỵ mạn tính.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Câu trả lời của tôi sẽ tập trung vào thông tin dinh dưỡng liên quan đến Đái tháo đường và Tăng huyết áp.

Câu trả lời của tôi là: Không nên uống bia cuối tuần vì rượu bia có thể ức chế quá trình tân tạo đường ở gan gây hạ đường huyết đột ngột lúc xa bữa ăn.

📚 Nguồn trích dẫn y văn gốc:
- Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Cần hạn chế tối đa. Rượu bia có thể ức chế quá trình tân tạo đường ở gan gây hạ đường huyết đột ngột lúc xa bữa ăn, đồng thời hủy hoại tế bào gan, làm tăng các yếu tố rủi ro tim mạch và đột quỵ mạn tính."
Tiểu đường ăn cơm xong có nên đi bộ không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Tiểu đường ăn cơm xong có nên đi bộ không?\n💡 Chuyên gia tư vấn: Có, rất tốt. Đi bộ nhẹ nhàng sau 3 bữa ăn chính (khoảng 10-15 phút mỗi lần) giúp cơ bắp tiêu thụ bớt lượng glucose tự do trong máu, giảm đỉnh đường huyết sau ăn rất hiệu quả.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Đi bộ nhẹ nhàng sau 3 bữa ăn chính (khoảng 10-15 phút mỗi lần) giúp cơ bắp tiêu thụ bớt lượng glucose tự do trong máu, giảm đỉnh đường huyết sau ăn rất hiệu quả.

📚 Nguồn trích dẫn y văn gốc:
- Tài liệu: Dinh dưỡng lâm sàng - Bộ Y tế
- Trang: Khẩu ngữ hóa","Có, rất tốt. Đi bộ nhẹ nhàng sau 3 bữa ăn chính (khoảng 10-15 phút mỗi lần) giúp cơ bắp tiêu thụ bớt lượng glucose tự do trong máu, giảm đỉnh đường huyết sau ăn rất hiệu quả."
Bị cả tiểu đường với tăng huyết áp thì nguyên tắc ăn uống quan trọng nhất là gì?,['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Bị cả tiểu đường với tăng huyết áp thì nguyên tắc ăn uống quan trọng nhất là gì?\n💡 Chuyên gia tư vấn: Nguyên tắc kết hợp quan trọng nhất là: Kiểm soát chặt chẽ lượng carbohydrate trong mỗi bữa để tránh tăng đường huyết; Đồng thời giảm nghiêm ngặt lượng natri (< 2000mg/ngày) để hạ huyết áp; Và tăng cường chất xơ từ rau xanh phong phú.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n'],"Nguyên tắc ăn uống quan trọng nhất là:
- Kiểm soát chặt chẽ lượng carbohydrate trong mỗi bữa: 45-65g
- Giảm nghiêm ngặt lượng natri: < 2000mg/ngày
- Tăng cường chất xơ từ rau xanh phong phú: 25-30g

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)",Nguyên tắc kết hợp quan trọng nhất là: Kiểm soát chặt chẽ lượng carbohydrate trong mỗi bữa để tránh tăng đường huyết; Đồng thời giảm nghiêm ngặt lượng natri (< 2000mg/ngày) để hạ huyết áp; Và tăng cường chất xơ từ rau xanh phong phú.
If vừa bị tiểu đường vừa bị tăng huyết áp thì nên ưu tiên mục tiêu dinh dưỡng nào?,['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: If vừa bị tiểu đường vừa bị tăng huyết áp thì nên ưu tiên mục tiêu dinh dưỡng nào?\n💡 Chuyên gia tư vấn: Cần đạt đồng thời 3 mục tiêu: Một là đạt mục tiêu kiểm soát glucose máu (HbA1c < 7%); Hai là duy trì huyết áp mục tiêu (< 130/80 mmHg); Ba là quản lý ổn định cân nặng ở mức hợp lý (BMI từ 19 đến dưới 23).\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n'],"Không có thông tin về chỉ số dinh dưỡng cụ thể trong dữ liệu được cung cấp.

📚 Nguồn trích dẫn y văn gốc:
Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)",Cần đạt đồng thời 3 mục tiêu: Một là đạt mục tiêu kiểm soát glucose máu (HbA1c < 7%); Hai là duy trì huyết áp mục tiêu (< 130/80 mmHg); Ba là quản lý ổn định cân nặng ở mức hợp lý (BMI từ 19 đến dưới 23).
